"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"4655" ".0013812" 2 7 7 ".001" 9
"4656" ".0013812" 1 8 8 ".001" 9
"4666" ".0013814" 8 0 0 ".001" 9
"4667" ".0013814" 14 1 1 ".001" 9
"4668" ".0013814" 2 2 2 ".001" 9
"4669" ".0013814" 4 3 3 ".001" 9
"4670" ".0013814" 5 4 4 ".001" 9
"4671" ".0013814" 17 5 5 ".001" 9
"4672" ".0013814" 4 6 6 ".001" 9
"4673" ".0013814" 3 7 7 ".001" 9
"4674" ".0013814" 4 8 8 ".001" 9
"4819" ".0013831" 0 0 0 ".001" 9
"4820" ".0013831" 0 1 1 ".001" 9
"4821" ".0013831" 4 2 2 ".001" 9
"4822" ".0013831" 1 3 3 ".001" 9
"4823" ".0013831" 11 4 4 ".001" 9
"4824" ".0013831" 20 5 5 ".001" 9
"4825" ".0013831" 1 6 6 ".001" 9
"4826" ".0013831" 6 7 7 ".001" 9
